filename,true_category,true_color_hex
fm_03771_dress.png,dress,
fm_06672_dress.png,dress,
fm_07261_bag.png,bag,
fm_00760_cardigan.png,cardigan,
fm_03779_dress.png,dress,
fm_01772_shoes.png,shoes,
fm_07509_sandals.png,sandals,
fm_02679_trench_coat.png,trench_coat,
fm_02305_sandals.png,sandals,
fm_09215_dress.png,dress,
fm_03625_shirt.png,shirt,
fm_04236_bag.png,bag,
fm_09005_bag.png,bag,
fm_05924_dress.png,dress,
fm_03093_bag.png,bag,
fm_07590_shirt.png,shirt,
fm_04736_dress.png,dress,
fm_04366_cardigan.png,cardigan,
fm_04056_dress.png,dress,
fm_04178_cardigan.png,cardigan,
fm_01287_shirt.png,shirt,
fm_08343_shirt.png,shirt,
fm_04623_shirt.png,shirt,
fm_02066_boots.png,boots,
fm_09099_sandals.png,sandals,
fm_05950_dress.png,dress,
fm_01547_shoes.png,shoes,
fm_07599_shirt.png,shirt,
fm_00313_trench_coat.png,trench_coat,
fm_08321_bag.png,bag,
fm_03916_trench_coat.png,trench_coat,
fm_05943_shirt.png,shirt,
fm_03162_shoes.png,shoes,
fm_02010_shirt.png,shirt,
fm_07296_shirt.png,shirt,
fm_04163_shoes.png,shoes,
fm_08426_boots.png,boots,
fm_04080_trench_coat.png,trench_coat,
fm_04026_bag.png,bag,
fm_02345_dress.png,dress,
fm_00324_trench_coat.png,trench_coat,
fm_02733_cardigan.png,cardigan,
fm_00704_boots.png,boots,
fm_05877_pants.png,pants,
fm_07875_shoes.png,shoes,
fm_01651_shoes.png,shoes,
fm_00585_trench_coat.png,trench_coat,
fm_04625_shirt.png,shirt,
fm_03939_cardigan.png,cardigan,
fm_01603_shoes.png,shoes,
